Date,Stars,Helpful Votes
October/7/2015,3.0,0
July/27/2016,1.0,0
April/16/2014,5.0,0
June/21/2017,5.0,0
November/23/2016,5.0,0
September/11/2015,5.0,0
March/9/2015,1.0,0
April/19/2018,1.0,0
November/7/2016,5.0,0
August/19/2018,5.0,0
December/29/2012,5.0,0
September/6/2015,1.0,0
February/17/2016,5.0,0
July/14/2016,2.0,0
October/27/2015,5.0,0
February/6/2017,2.0,0
January/3/2016,3.0,0
October/26/2015,5.0,0
September/27/2014,2.0,0
October/12/2015,5.0,0
July/26/2014,5.0,0
September/2/2013,5.0,0
July/28/2013,5.0,0
July/1/2018,5.0,0
January/25/2016,2.0,0
January/4/2016,5.0,0
May/30/2015,3.0,0
January/10/2017,5.0,0
September/4/2015,5.0,0
May/31/2015,5.0,0
June/26/2011,4.0,0
August/25/2014,5.0,0
June/5/2014,5.0,0
August/29/2014,4.0,0
May/14/2015,4.0,0
February/25/2017,5.0,0
May/19/2014,3.0,0
March/22/2018,5.0,0
December/12/2016,3.0,0
April/21/2015,4.0,0
May/26/2015,5.0,0
November/6/2015,5.0,0
June/14/2013,4.0,0
December/25/2017,1.0,0
October/20/2015,5.0,0
December/6/2016,5.0,0
March/19/2015,5.0,0
June/1/2015,4.0,0
December/21/2015,5.0,0
February/19/2012,1.0,0
June/13/2013,4.0,0
January/1/2013,4.0,0
November/5/2013,4.0,0
June/28/2016,4.0,0
October/20/2015,2.0,0
September/3/2015,5.0,0
January/8/2017,5.0,0
January/21/2017,5.0,0
June/5/2018,3.0,0
January/30/2017,5.0,0
March/15/2014,2.0,0
August/22/2013,4.0,0
July/3/2018,5.0,0
April/16/2016,4.0,0
February/12/2015,3.0,0
April/6/2014,3.0,0
September/1/2016,4.0,0
March/4/2014,4.0,0
January/11/2015,4.0,0
December/26/2012,5.0,0
December/23/2014,1.0,0
August/11/2015,1.0,0
January/24/2013,5.0,0
December/18/2014,4.0,0
November/21/2014,4.0,0
May/7/2015,5.0,0
September/3/2015,3.0,0
August/17/2011,2.0,0
June/14/2015,3.0,0
June/23/2017,5.0,0
April/12/2016,3.0,0
May/16/2016,5.0,0
August/21/2015,4.0,0
April/1/2013,5.0,0
July/15/2017,5.0,0
January/2/2013,4.0,0
November/18/2015,4.0,0
July/1/2013,4.0,0
August/20/2017,5.0,0
August/7/2017,5.0,0
June/2/2016,5.0,0
June/22/2018,5.0,0
August/12/2018,5.0,0
September/25/2015,1.0,0
December/7/2016,1.0,0
September/7/2018,5.0,0
November/30/2012,5.0,0
June/5/2013,5.0,0
May/25/2015,5.0,0
May/9/2011,2.0,0
February/6/2014,4.0,0
